#datatype measurement,tag,tag,tag,double,double,double,dateTime:RFC3339
queries,host,db,query_id,calls,total_exec_time,rows_read,time
queries,host1,db1,qry1,0,0,0,2023-09-13T00:00:00Z
queries,host1,db1,qry1,1000,8000,1000000,2023-09-13T00:05:00Z
queries,host1,db1,qry1,2000,16000,2000000,2023-09-13T00:10:00Z
queries,host1,db1,qry1,3000,24000,3000000,2023-09-13T00:15:00Z
queries,host1,db1,qry1,4000,32000,4000000,2023-09-13T00:20:00Z
queries,host1,db1,qry1,5000,40000,5000000,2023-09-13T00:25:00Z
queries,host1,db1,qry1,6000,48000,6000000,2023-09-13T00:30:00Z
queries,host1,db1,qry1,7000,56000,7000000,2023-09-13T00:35:00Z
queries,host1,db1,qry1,8000,64000,8000000,2023-09-13T00:40:00Z
queries,host1,db1,qry1,9000,72000,9000000,2023-09-13T00:45:00Z
queries,host1,db1,qry1,10000,80000,10000000,2023-09-13T00:50:00Z
queries,host1,db1,qry1,11000,88000,11000000,2023-09-13T00:55:00Z
queries,host1,db1,qry1,12000,96000,12000000,2023-09-13T01:00:00Z
queries,host1,db1,qry1,13000,104000,13000000,2023-09-13T01:05:00Z
queries,host1,db1,qry1,14000,112000,14000000,2023-09-13T01:10:00Z
queries,host1,db1,qry1,15000,120000,15000000,2023-09-13T01:15:00Z
queries,host1,db1,qry1,16000,128000,16000000,2023-09-13T01:20:00Z
queries,host1,db1,qry1,17000,136000,17000000,2023-09-13T01:25:00Z
queries,host1,db1,qry1,18000,144000,18000000,2023-09-13T01:30:00Z
queries,host1,db1,qry1,19000,152000,19000000,2023-09-13T01:35:00Z
queries,host1,db1,qry1,20000,160000,20000000,2023-09-13T01:40:00Z
queries,host1,db1,qry1,21000,168000,21000000,2023-09-13T01:45:00Z
queries,host1,db1,qry1,22000,176000,22000000,2023-09-13T01:50:00Z
queries,host1,db1,qry1,23000,184000,23000000,2023-09-13T01:55:00Z
queries,host1,db1,qry1,24000,192000,24000000,2023-09-13T02:00:00Z
queries,host1,db1,qry1,25000,200000,25000000,2023-09-13T02:05:00Z
queries,host1,db1,qry1,26000,208000,26000000,2023-09-13T02:10:00Z
queries,host1,db1,qry1,27000,216000,27000000,2023-09-13T02:15:00Z
queries,host1,db1,qry1,28000,224000,28000000,2023-09-13T02:20:00Z
queries,host1,db1,qry1,29000,232000,29000000,2023-09-13T02:25:00Z
queries,host1,db1,qry1,30000,240000,30000000,2023-09-13T02:30:00Z
queries,host1,db1,qry1,31000,248000,31000000,2023-09-13T02:35:00Z
queries,host1,db1,qry1,32000,256000,32000000,2023-09-13T02:40:00Z
queries,host1,db1,qry1,33000,264000,33000000,2023-09-13T02:45:00Z
queries,host1,db1,qry1,34000,272000,34000000,2023-09-13T02:50:00Z
queries,host1,db1,qry1,35000,280000,35000000,2023-09-13T02:55:00Z
queries,host1,db1,qry1,36000,288000,36000000,2023-09-13T03:00:00Z
queries,host1,db1,qry1,37000,296000,37000000,2023-09-13T03:05:00Z
queries,host1,db1,qry1,38000,304000,38000000,2023-09-13T03:10:00Z
queries,host1,db1,qry1,39000,312000,39000000,2023-09-13T03:15:00Z
queries,host1,db1,qry1,40000,320000,40000000,2023-09-13T03:20:00Z
queries,host1,db1,qry1,41000,328000,41000000,2023-09-13T03:25:00Z
queries,host1,db1,qry1,42000,336000,42000000,2023-09-13T03:30:00Z
queries,host1,db1,qry1,43000,344000,43000000,2023-09-13T03:35:00Z
queries,host1,db1,qry1,44000,352000,44000000,2023-09-13T03:40:00Z
